Date,Daytime Average Temperature (degrees Celsius),Daytime Average Humidity (%),Average Pressure (hPa),Total Precipitation (mm),Average Windspeed (m/s),Daytime Average Enthalpy,Daytime Average Moisture,Occupancy,Daytime kWh - actual power consumption (kWh),Actual water consumption (kLiter),Actual Gas consumption (MJ)
10/10/2019,21.6,56.8,1016.6,0,0,45.5,9.3,355,4043.3,33.5,885.98
11/10/2019,19,76.5,1016.7,11.9,0,46.7,10.9,355,3617.1,12.2,1127.61
14/10/2019,18.9,47.9,1018.5,0.4,0.1,35.9,6.7,30,3721.8,36.9,2939.84
15/10/2019,18,39.4,1022.9,0,0.1,31.2,5.2,26,3634.8,12.6,5517.22
16/10/2019,19.5,36.9,1023.5,0,0,32.8,5.2,358,3707.9,12.3,4550.7
17/10/2019,20.6,43.4,1020.5,0,0.1,37.6,6.7,371,3698.5,33.4,4067.44
18/10/2019,22.7,35.8,1019.1,0,0.1,38.3,6.1,357,3809.9,9.7,3624.45
21/10/2019,21.9,53.4,1018.7,0,0,44.9,9,36,4108.8,35.8,1047.06
22/10/2019,23.7,47.7,1018,0,0.1,46.6,8.9,30,4131.4,10,1288.69
23/10/2019,20.2,67.4,1016.6,12.6,0.1,46.2,10.2,346,3898.2,16.2,644.35
24/10/2019,19.1,44.1,1019.7,0,0,35,6.2,350,3665.1,33.5,1973.31
25/10/2019,21.5,48.6,1020.7,0,0,41.9,8,322,3823.5,9.8,2134.4
28/10/2019,22.5,54,1014.1,0,0.1,46.8,9.5,26,4466.3,34.4,322.17
29/10/2019,23.5,45,1014,0,0,44.8,8.3,33,4343.7,12.2,1328.97
30/10/2019,20.3,67.5,1007.3,22.1,0.1,46.7,10.3,377,3973,12.2,1127.61
31/10/2019,14.9,60.9,1007.6,25.3,0,31.7,6.6,349,3405.9,34.1,8094.61
1/11/2019,16.4,68.3,1010.5,28.9,0.2,37.1,8.2,364,3366.4,12.3,7530.81
4/11/2019,23.8,40.6,1023.9,0,0.1,43.2,7.5,28,4090.2,37.3,3141.19
5/11/2019,23.2,51,1023.4,0,0.1,47,9.3,28,4088.4,12.2,2255.22
6/11/2019,22.6,42.1,1022.3,0,0.1,41.4,7.4,374,3919.7,12.3,2053.86
7/11/2019,24.8,40,1020.2,0,0.1,45.3,8,385,4128.9,34.4,1047.07
8/11/2019,28.6,21.9,1018.5,0,0.1,42,5.2,365,4542.5,12.3,322.17
11/11/2019,26.4,34.1,1015.1,0,0.2,44.9,7.2,32,4996.5,37,322.17
12/11/2019,26.5,27.2,1019.8,0,0.2,41.7,5.9,24,4761.7,15,442.99
13/11/2019,32.3,21.8,1018,0,0,49.2,6.5,374,5567.4,12.2,0
14/11/2019,36.4,13.3,1013.5,0,0.2,49.4,5,379,6265.6,34.2,0
15/11/2019,34.2,21.2,1012.2,0,0.1,52.2,7,384,6108.2,9.6,0
18/11/2019,30,33,1013.5,0,0.1,53.2,9,29,6017.6,37,40.27
19/11/2019,23.2,51.9,1009.4,0,0.1,47.6,9.6,31,4699.2,12.4,0
20/11/2019,19.9,36,1015.1,3.5,0.1,33.4,5.3,415,3911.6,13.4,442.99
21/11/2019,21.7,31.9,1019.1,0,0.1,35.2,5.3,421,4123.2,33.5,1610.87
22/11/2019,23.8,43,1018.6,0,0.1,44.4,8.1,432,4164.1,12.3,1731.68
25/11/2019,26.5,36.5,1015.7,0,0.1,47,8,20,5036,35,40.27
26/11/2019,30.7,21.7,1014.1,0,0.1,45.9,5.9,19,5266.4,14.9,0
